업체명,물품분류명,계약유형,금액
주식회사 다누시스,하드디스크어레이,제3자단가계약,0
주식회사 다누시스,하드디스크드라이브,제3자단가계약,0
주식회사 명광,전선관,제3자단가계약,0
주식회사 명광,네트워크케이블,제3자단가계약,0
주식회사 명광,전원공급장치,제3자단가계약,0
주식회사 비알인포텍,보안용카메라,제3자단가계약,16200000
주식회사 시큐인포,하드디스크드라이브,제3자단가계약,0
주식회사 시큐인포,영상감시장치,제3자단가계약,0
주식회사 시큐인포,네트워크스위치,제3자단가계약,0
주식회사 시큐인포,디지털비디오레코더,제3자단가계약,0
(주)앤다스,광분배함,제3자단가계약,260000
(주)앤다스,상자,제3자단가계약,2818000
(주)앤다스,네트워크스위치,제3자단가계약,3374000
(주)앤다스,네트워크스위치,제3자단가계약,372000
(주)앤다스,네트워크스위치,제3자단가계약,3090000
(주)앤다스,네트워크시스템장비용랙,제3자단가계약,498000
(주)앤다스,누전차단기,제3자단가계약,514000
(주)앤다스,전원공급장치,제3자단가계약,528000
(주)앤다스,카메라받침대,제3자단가계약,1512000
(주)앤다스,송수신기및미디어컨버터,제3자단가계약,666000
이노뎁(주),통신서버소프트웨어,제3자단가계약,440000
주식회사 솔디아,유선송신기또는수신기,제3자단가계약,184000
주식회사 솔디아,유선송신기또는수신기,제3자단가계약,184000
주식회사 인텔리빅스,콘솔익스텐더,제3자단가계약,664000
주식회사 인텔리빅스,영상감시장치,제3자단가계약,41100000
주식회사 인텔리빅스,해석또는과학소프트웨어,제3자단가계약,77760000
주식회사 그린아이티코리아,안내판,제3자단가계약,924000
주식회사 포딕스시스템,영상감시장치,제3자단가계약,12880000
주식회사 포딕스시스템,전력케이블,제3자단가계약,161000
주식회사 포딕스시스템,네트워크케이블,제3자단가계약,1427540
주식회사 포딕스시스템,전선관,제3자단가계약,3682890
주식회사 포딕스시스템,영상감시장치,제3자단가계약,1348000
주식회사 포딕스시스템,보안용카메라,제3자단가계약,8032000
