사업자등록번호,업체명,물품분류명,납품요구번호,일자,월,전체계약금액,영상감시장치_계약금액,영상감시여부,MAS여부,계약종류_상세
1388195849,주식회사 에스카,안내전광판,R25TB01143587,20260130,1월,-11740000.0,-11740000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,누전차단기,R25TB01143587,20260130,1월,-795000.0,-795000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,보안용카메라,R25TB01143587,20260130,1월,-5520000.0,-5520000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,보행자안전차단기,R25TB01143587,20260130,1월,-9600000.0,-9600000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,하드디스크드라이브,R25TB01143587,20260130,1월,-1211000.0,-1211000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,네트워크스위치,R25TB01143587,20260130,1월,-8020000.0,-8020000.0,Y,Y,MAS (자동추론)
1138645971,주식회사 포딕스시스템,영상감시장치,R25TB01151060,20260105,1월,-20545000.0,-20545000.0,Y,N,우수조달/일반경쟁
1388195849,주식회사 에스카,송신기,R25TB01361328,20260114,1월,-882000.0,-882000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,벨,R25TB01361328,20260114,1월,-3708000.0,-3708000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,벨,R25TB01361328,20260114,1월,-320000.0,-320000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),소프트웨어유지및지원서비스,R26TB01392783,20260102,1월,6600000.0,6600000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),소프트웨어유지및지원서비스,R26TB01392784,20260102,1월,3168000.0,3168000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),소프트웨어유지및지원서비스,R26TB01392784,20260102,1월,42240000.0,42240000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),소프트웨어유지및지원서비스,R26TB01392786,20260102,1월,1980000.0,1980000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,광점퍼코드,R26TB01392862,20260102,1월,26880.0,26880.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,광분배함,R26TB01392862,20260102,1월,48600.0,48600.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,광분배함,R26TB01392862,20260102,1월,149300.0,149300.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,네트워크스위치,R26TB01392862,20260102,1월,529000.0,529000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,네트워크스위치,R26TB01392862,20260102,1월,138000.0,138000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,네트워크시스템장비용랙,R26TB01392862,20260102,1월,920000.0,920000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,서지흡수기,R26TB01392862,20260102,1월,143000.0,143000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,서지흡수기,R26TB01392862,20260102,1월,1771000.0,1771000.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,카메라브래킷,R26TB01392862,20260102,1월,672100.0,672100.0,Y,Y,MAS (자동추론)
1388195849,주식회사 에스카,하드디스크드라이브,R26TB01392862,20260102,1월,1792000.0,1792000.0,Y,Y,MAS (자동추론)
